Player_ID,FG_PCT,FG3_PCT,FT_PCT,REB,AST,STL,BLK,TOV,PF,PTS
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0
1630623,0.3197142857,0.288,0.5,1.285714286,1.714285714,0.4285714286,0.1428571429,1.142857143,2.428571429,55
1630625,0.345,0.2379701493,0.3971343284,2.014925373,2.388059701,0.6417910448,0.5074626866,1.28358209,0.8656716418,559
1630631,0.3809821429,0.333875,0.4166607143,2.428571429,4.625,1.321428571,0.25,1.535714286,1.625,579
1630639,0.4128461538,0.3037692308,0.3706538462,3.307692308,1.192307692,0.5,0.2307692308,0.5769230769,1.692307692,236
1630643,0.2525192308,0.1803173077,0.1690673077,1.634615385,0.7403846154,0.1538461538,0.9326923077,0.3365384615,1.125,447
1630644,0,0,0,0.5,1.5,0,0,0,1,0
1630649,0.1742272727,0.1363636364,0.04545454545,0.7727272727,0.1818181818,0.1363636364,0.2727272727,0.1363636364,0.3636363636,15
1630658,0.3273461538,0.05126923077,0.3929615385,4.692307692,1.076923077,0.3076923077,0.3846153846,0.8846153846,1.961538462,123
1630678,0,0,0,0.3333333333,0.6666666667,0,0,0,0,0
1630692,0.1433521127,0.1065774648,0.06338028169,2.718309859,1.154929577,0.4366197183,0.1690140845,0.3802816901,2.309859155,164
1630695,0.4011052632,0.2793947368,0.2302631579,4.315789474,0.8157894737,0.3684210526,0.3684210526,0.8157894737,1.315789474,162
1630696,0.4376428571,0.3868571429,0.1726428571,2.571428571,1.642857143,1.5,0.4285714286,1.214285714,2.142857143,87
1630699,0.3248,0.2285714286,0.2,1.257142857,0.3142857143,0.1142857143,0.02857142857,0.4285714286,0.4,79
1630700,0.4974210526,0.3453026316,0.3504342105,5.907894737,4.381578947,3.013157895,0.7236842105,2.039473684,2.302631579,1073
1630702,0.3717894737,0.2993684211,0.3753859649,1.561403509,1.421052632,0.4912280702,0.08771929825,1.438596491,1.578947368,496
1630703,0.4058030303,0.3405,0.5751969697,3,5.075757576,1.03030303,0.196969697,2.681818182,2.742424242,837
1630762,0.0944,0,0.2,1.6,0.4,0.2,0.4,0.2,0.2,8
1630811,0.372,0.2391290323,0.1612903226,1.612903226,2.612903226,0.9032258065,0.2903225806,1.064516129,1.258064516,168
1631093,0.4641333333,0.3999666667,0.6917,4.133333333,3.966666667,0.9333333333,0.3666666667,2.966666667,2.233333333,528
1631094,0.4263146067,0.3962134831,0.7070449438,8.191011236,5.258426966,0.4382022472,0.3595505618,2.97752809,3.426966292,2060
1631095,0.3539509804,0.3476862745,0.3258529412,5.666666667,0.6274509804,0.2549019608,0.4509803922,0.6960784314,1.264705882,864
1631096,0.4746451613,0.3099784946,0.6331397849,8.064516129,1.204301075,0.6344086022,1.978494624,1.376344086,2.23655914,1397
1631097,0.4345833333,0.2862878788,0.6770151515,4.409090909,1.409090909,0.5151515152,0.3484848485,1.522727273,2.022727273,1739
1631098,0.3417647059,0.1294117647,0.125,1.117647059,0.3235294118,0.4411764706,0.1764705882,0.2058823529,0.5294117647,80
1631099,0.4333552632,0.3216710526,0.3486842105,6.671052632,1.434210526,0.8026315789,0.9078947368,0.7894736842,2.447368421,942
1631101,0.4460138889,0.3080694444,0.6590277778,4.5,2.75,0.8611111111,0.2222222222,2.083333333,1.666666667,1335
1631102,0.19375,0.09375,0.09375,0.8125,1,0.1875,0,0.1875,0.25,35
1631103,0.3715319149,0.3109574468,0.2344042553,1.085106383,0.8085106383,0.2340425532,0.04255319149,0.7234042553,0.6170212766,235
1631104,0.3889827586,0.1465344828,0.2629310345,1.051724138,1.965517241,0.6379310345,0.1034482759,0.9310344828,0.7931034483,217
1631105,0.6784098361,0,0.671557377,9.008196721,2.819672131,0.4590163934,0.8114754098,1.819672131,3.827868852,1787
1631106,0.4237326733,0.3820594059,0.2765742574,5.712871287,1.237623762,1.03960396,1.297029703,1.475247525,1.475247525,924
1631107,0.4774772727,0.3800113636,0.7273295455,4.386363636,2.420454545,1.329545455,0.5909090909,1.602272727,1.386363636,1444
1631108,0.4486025641,0.3692179487,0.5497948718,3.307692308,1.871794872,0.8205128205,0.3974358974,1.128205128,1.474358974,749
1631109,0.6028636364,0,0.6709772727,10.15909091,2.477272727,0.7272727273,1.227272727,1.613636364,2.386363636,671
1631110,0.5248518519,0.2400925926,0.4289444444,6.518518519,2.37037037,0.8333333333,0.5,1.555555556,2.425925926,617
1631111,0.3708888889,0.2245555556,0.2111111111,2.638888889,1.166666667,0.5555555556,0.1388888889,0.75,0.8611111111,150
1631114,0.4652538462,0.3174692308,0.721,5.507692308,4.792307692,1.415384615,0.5,2.153846154,2.315384615,2815
1631115,0.4235454545,0.2142954545,0.4348409091,5,1.75,0.3863636364,0.3636363636,1.113636364,2.272727273,303
1631116,0.4166666667,0.3541666667,0.04166666667,1.041666667,0.125,0.125,0.08333333333,0.2083333333,0.2916666667,53
1631117,0.6938103448,0.04239655172,0.3785172414,12.18965517,1.672413793,0.6206896552,2.379310345,1.482758621,2.24137931,641
1631119,0.3423627451,0.3185098039,0.1985294118,3.519607843,1.725490196,0.5294117647,0.3039215686,0.7450980392,1.588235294,382
1631120,0.1097241379,0.0660862069,0.3620689655,0.3103448276,0.3103448276,0.08620689655,0.01724137931,0.8793103448,0.03448275862,74
1631121,0.1538461538,0,0.2307692308,0.2307692308,0.1538461538,0.07692307692,0,0.3076923077,0.2307692308,13
1631123,0.3,0.05,0.1334,1,2,0.8,0.4,1.6,0.4,17
1631124,0.3978839286,0.1994196429,0.2762589286,2.348214286,0.7589285714,0.6964285714,0.1517857143,1.553571429,1.455357143,850
1631127,0.4,0,0,1.8,0.6,0.6,0,0.2,0.4,4
1631128,0.543389313,0.3099541985,0.6640152672,5.045801527,2.694656489,1.06870229,0.358778626,1.297709924,3.099236641,2109
1631131,0.4930714286,0,0.5583571429,8.714285714,0.6428571429,0.9285714286,0.07142857143,0.7142857143,1.714285714,107
1631132,0.460027027,0,0.1351351351,2.486486486,0.4324324324,0.2162162162,0.4324324324,0.3243243243,1.189189189,90
1631133,0.4023166667,0.20555,0.3186,3.516666667,0.6166666667,0.55,0.1,0.5666666667,1.45,313
1631157,0.4466701031,0.3768556701,0.1718247423,1.134020619,1.505154639,0.4432989691,0.175257732,0.5463917526,1.731958763,549
1631159,0.6494814815,0.6111111111,0.05555555556,2.185185185,0,0.03703703704,0.01851851852,0.6481481481,0.03703703704,395
1631165,0.4746625,0.399025,0.348225,2.65,1.5,1.5125,0.7875,0.8875,2.2,666
1631166,0.4695555556,0.3028888889,0.5,7.222222222,2.222222222,0.4444444444,0.1111111111,1.666666667,2.333333333,109
1631169,0.3646629213,0.2734044944,0.08052808989,0.5280898876,0.5617977528,0.1685393258,0.191011236,0.5056179775,0.4269662921,212
1631170,0.3396074766,0.142364486,0.6108224299,4.168224299,1.91588785,0.5700934579,0.1308411215,0.9252336449,1.121495327,726
1631172,0.3028313253,0.2516144578,0.0803253012,1.096385542,0.6746987952,0.2048192771,0.1325301205,0.2168674699,0.3975903614,222
1631197,0.3848571429,0.1934285714,0.4582857143,3,1.142857143,0.7142857143,0.1428571429,0.6428571429,1.428571429,118
1631199,0.125,0,1,7,2,0,0,0,0,4
1631200,0.3388985507,0.1487826087,0.1603913043,2.637681159,0.9855072464,0.5072463768,0.2463768116,0.6231884058,0.9565217391,287
1631204,0.4102807018,0.3115789474,0.2947368421,1.210526316,2.333333333,0.649122807,0.0701754386,0.9473684211,1.263157895,375
1631207,0.3886027397,0.1922328767,0.2376712329,1.698630137,1.328767123,0.602739726,0.2054794521,0.7260273973,1.561643836,326
1631209,0.38965,0.39585,0.38335,1.6,1.4,0.55,0,0.9,1.05,120
1631210,0.1470588235,0.03676470588,0,0.8823529412,0.3529411765,0.1176470588,0,0.1764705882,0.1764705882,23
1631212,0.3479583333,0.2016666667,0.4285666667,3.525,1.433333333,0.5083333333,1.175,1.15,1.508333333,765
1631213,0.3787166667,0.3114333333,0.2652833333,3.65,2.033333333,0.5666666667,0.15,1.233333333,1.283333333,523
1631214,1,1,0,0,1,0,0,0,0,5
1631216,0.1951980198,0.1651287129,0.06930693069,0.7821782178,0.3564356436,0.2178217822,0.06930693069,0.5247524752,0.6435643564,245
